title,name,creator,art_series,price,type,likes,tokens,year,cid
Psychedelic art,heartbeat,noahfromearth,noahfromearth_psychedelic-art_heartbeat,8,PHOTO,1,2,2021,QmQWxUeosDw5DqBc2yS9sVTauD6B9vwNw97hP2UxBMukBz
Forest road,Who will build the roads ?,small1axe,small1axe_forest-road_who-will-build-the-roads-,8,PHOTO,0,3,2021,QmQryAkpxAuhg3UAfLFLNfCatU2tpGsSavdqG2CH1raTDe
AmphluxArt,Rainbow'd Out Long Dead NFT Flower,amphlux,amphlux_amphluxart_rainbowd-out-long-dead-nft-flower,8,GIF,0,8,2021,QmQzyH1LCY2HXioiwtWtQBCL2iyabx1JwiZZ4cKb49dpC8
Banners made by Snek,Power up Banner,poeticsnake,poeticsnake_banners-made-by-snek_power-up-banner,8,PHOTO,0,15,2021,QmScXv92dtVm6xTaWxkP6kSXstwB2SiiZt3Dtrk41H3LWR
Bitcoin  ,Bitcoin trap,small1axe,small1axe_bitcoin_bitcoin-trap,8.5,PHOTO,1,6,2020,QmSeviAv8VCWQPqA6m1d95wk5Hwd2oBmsNjpRYijWFWYbp
Textured looks,Enemies,danielvehe,danielvehe_textured-looks_enemies,9,PHOTO,0,6,2020,Qmbem6snrQNLX3TMwhRs5n17V4qKj1LucpPJmY2mkqR8mQ
online-art-collaborations,fingerprint gone wild - part II,elgeko,elgeko_online-art-collaborations_fingerprint-gone-wild-part-ii,9,GIF,0,17,2020,QmUEWPtmSvTQ8mEE781X7eSbfJuEBPHNM9dcHwkXP8bGRJ
online-art-collaborations,NFT Showroom fingerprint gone wild,elgeko,elgeko_online-art-collaborations_nft-showroom-fingerprint-gone-wild,9,GIF,0,25,2020,Qmcs4FYrR2XZMXKrE29PrXKW5pryL9suJFhCTQzxfGRu3J
Mi Universo,Chica Rasta de Neón,zullyscott,zullyscott_mi-universo_chica-rasta-de-neon,9,PHOTO,0,2,2020,QmfVsMrgBX5Ufh2XiLR6CMuGXb7Njwcq7yZPGPgka48XLT
DeepDream,Lemuria Dream,trayan,trayan_deepdream_lemuria-dream,9,PHOTO,0,3,2021,QmU17s7bue6TXyt9cCnmgBkFTLhm4VLqXVTDpUoYPXSejb
Crystal Ball Sorceress,Turkish look cristal girl ,desireeart,desireeart_crystal-ball-sorceress_turkish-look-cristal-girl,9,PHOTO,0,1,2021,QmeXtWTV9TBLDdE5m3Jj6C2iKbxVWJkE75afeuYyqzjpad
"nothing is real, all is real",Inside of non existence,solymi,solymi_nothing-is-real-all-is-real_inside-of-non-existence,9,VIDEO,2,5,2021,QmeS2nCC2ZMTEfupgBEZRkepWxY44YasBDrd2YRwTRxLnX
Natural Number,9,fakenewsindustry,fakenewsindustry_natural-number_9,9,PHOTO,0,1,2021,QmXBwSSWtvKpb67jfL5Hq4bZGzn5pu2KHx6sxUrs335yjK
THE BEARS NFT COLLECTION,BEAR NFT 1,cryptomasterg,cryptomasterg_the-bears-nft-collection_bear-nft-1,9,PHOTO,3,5,2021,QmPJB2T6C17ejfWf6XqWMvkPHWAdXqvwDQnL7zXnW1mbHv
Fire Air Water Earth,Fire Air Water Earth 2 of 10,in2itiveart,in2itiveart_fire-air-water-earth_fire-air-water-earth-2-of-10,9.36,GIF,2,6,2020,QmW3jtGWLNeUvRBUMSfESeYzfuLwM4Ve5ShkLzHQzCFGYf
DIGIT,MONAPIZZA,drew0,drew0_digit_monapizza,9.5,PHOTO,3,3,2020,Qma6eHAWkXhrkHsfCHrYJNkuPoUAFrSjg2a6Xk2sCM7CBd
Fire Air Water Earth,Fire Air Water Earth 1 of 10 ,in2itiveart,in2itiveart_fire-air-water-earth_fire-air-water-earth-1-of-10,9.63,GIF,0,9,2020,QmQXW9TuAKCL5GMm8JnCTGnnK7XY3xeUtqn72rwxPXTAoX
Talisman Animations,Peace On Earth...All Is Well,in2itiveart,in2itiveart_talisman-animations_peace-on-earthall-is-well,9.63,GIF,0,9,2020,QmThnG6cmtDPJzMWbwGLioptLfCxwNCjGVTBGh7k2suaPo
CASCA,misterios fungus,drew0,drew0_casca_misterios-fungus,9.99,PHOTO,0,7,2020,QmczKFoLFi6HZ8uFMHWcU21MVE6RKoU6QawCgWB6yaEksu
Fire Air Water Earth,Fire Air Water Earth 9 of 10,in2itiveart,in2itiveart_fire-air-water-earth_fire-air-water-earth-9-of-10,9.99,GIF,0,3,2020,Qmegz8wde1LZB5Au9xWDQCfanD4Dq1Tg1KsBv5LtmNaBtM
Talisman Animations,Flower Power,in2itiveart,in2itiveart_talisman-animations_flower-power,9.99,GIF,0,3,2020,QmZSpxBjsFDkDTAVs7wfSXZ6xRLR3Xqyod2J4r42rygCyV
GEEFS,ominous sleep mask,aulerius,aulerius_geefs_ominous-sleep-mask,10,GIF,1,5,2019,QmXNjd1RFcJwUicKtwvicsFXQmAhhLEUubv2rFBg6eTkeL
Origami,Origami 2,artxmike,artxmike_origami_origami-2,10,PHOTO,0,6,2019,QmUPkctx6YzMHGcZtD6Eb5hoi6qNgmfTCBjViVH6nFKFG8
Origami 1,Origami 1,artxmike,artxmike_origami-1_origami-1,10,PHOTO,0,5,2019,QmQmSr9zHdmkDQS8ebgtRMvzAR6g4uz4jmqDFDg6LCKSU8
Hand of Buddha,Hand of Buddha,artxmike,artxmike_hand-of-buddha_hand-of-buddha,10,PHOTO,0,6,2019,QmPwmCZkJ2F3dKxgtNaRY8TUNPRRzcEP4zttDKQ4rfsXLU
Simplicity,Grow,leslieebano,leslieebano_simplicity_grow,10,PHOTO,0,3,2020,QmXwPqsBZ31Sc1nejfGMGU1A3Sf6HPhVpX2h66TtqF63M1
Italian Digital Art,"Banos De Maria Padilla, Sevilla",alezambo,alezambo_italian-digital-art_banos-de-maria-padilla-sevilla,10,PHOTO,0,5,2020,QmQMHbgJYpQSYfvRt1TEEvs24yiyjBMTGCty4vphfWpMVn
Motions,Relapse/Gif,veeart,veeart_motions_relapse-gif,10,GIF,1,5,2020,QmQaJSKCMineP8UrP2atppWcUATHWRHRQj43asdnhinF5J
Color Art,Death Day,cryptosimplify,cryptosimplify_color-art_death-day,10,PHOTO,0,3,2020,QmbUGJ2VVrGC1vYVkahqsVf5dHhhtKe2HA4bpfsiym9D3z
Fractal-Saxon Runes,O Rune,lacking,lacking_fractal-saxon-runes_o-rune,10,PHOTO,1,5,2020,QmUC8GGXE35wUcP4HNxA5d7j5LN4PXFfnbrL3XgEEbwaY8
GIF art,sexy scream glitch,elgeko,elgeko_gif-art_sexy-scream-glitch,10,GIF,1,42,2020,QmYBcCePW1GZv2yP1bec5rmdYikLR1g85Gy45Dk7DC3JsT
Birds,Flamingo ,enmy,enmy_birds_flamingo,10,PHOTO,0,5,2020,QmRKYdC8WzeXsNod7JvbP43DAY74b4Rudbnc7Xye7LMH3z
Krazy Kat,Krazy Kat,artxmike,artxmike_krazy-kat_krazy-kat,10,PHOTO,0,5,2020,QmYxNe7uXJUbSSVk93az1e8UfpuZ9KqoAXt5uCrsdkm61a
sketch,sketch of a girl,lizano,lizano_sketch_sketch-of-a-girl,10,PHOTO,2,3,2020,QmaTkwv5SnhYfNsuXR111iq9AP9CYajPLfE1xL6YBfvEY5
Digital art in nature,Earth worm,dzenisphoto,dzenisphoto_digital-art-in-nature_earth-worm,10,PHOTO,3,5,2020,QmQF7H97ovfzu6pTaw782cn8TfS6TW5MPqo9hPzW9z4u4U
abstraction,abstraction,pollyfoxxy,pollyfoxxy_abstraction_abstraction,10,PHOTO,1,8,2020,QmcbBJ3nC9GLYqB69uHuRewBv3e7NZvvcMGTKUH8Ex9rHr
Drawings,Fairy ,ambarvegas,ambarvegas_drawings_fairy,10,PHOTO,0,2,2020,QmQ3jhBYyH8getD3ZXPgG2A65eubzmcMGmAj94ee7HDgH5
Daily situations,Fights,ambarvegas,ambarvegas_daily-situations_fights,10,PHOTO,0,4,2020,QmVaD6BVzRuqHaZa7GixcdYXoZJeniz7RhfsXfHRPjjrVF
Recycling Era,Is love in the air?,seckorama,seckorama_recycling-era_is-love-in-the-air,10,GIF,0,5,2020,Qma2LzH3K6Ve4pha2cjkwCJULyCsmqB9krEjmivQHWCg3i
GIF art,sexy glitch 55,elgeko,elgeko_gif-art_sexy-glitch-55,10,GIF,1,23,2020,QmbEm74ruqPoyeQ6k5gMj8pfw7saKXRp554nRzZb4Bxzmo
California is burning,California is burning,artxmike,artxmike_california-is-burning_california-is-burning,10,PHOTO,0,5,2020,QmQ18q6euiYoJFR8KPku5hGnyAhQCi2tM5oM58CLWGUgyL
Dark Souls,Until It Sleeps,warnas,warnas_dark-souls_until-it-sleeps,10,PHOTO,1,5,2020,QmRTFpYTRxPLDRmRV3btKB9vTbVhBiJJEjdFiUPFhdf53D
Forest road,The road to nowhere,small1axe,small1axe_forest-road_the-road-to-nowhere,10,PHOTO,0,6,2020,QmfCYypM4qSRqMu42QU9idTWTiGjNc7TSRFAHTQ4n1Jm9u
Black and White NFTs,Elf Mermaid,grisvisa,grisvisa_black-and-white-nfts_elf-mermaid,10,PHOTO,0,2,2020,QmXgrCTGcq5FczpVwdN2ohh32VxKNrCsm6x57nwBTgM4jz
Dimensional Dysfunction,Hiden Rabbit in motion,aleister,aleister_dimensional-dysfunction_hiden-rabbit-in-motion,10,VIDEO,0,6,2020,QmWXUrA7FotMPFz4fqcnbPSVGkv18BqC2kNTa6WyZoac23
